"id","user_id","original_idea","generated_idea","created_at"
"016c4b22-2021-4211-974c-28ca53ef8685","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Automated video subtitle generator for content creators","""2025-10-27T08:44:27.117Z"""
"01997e5e-fde0-43aa-abc1-91dc2f6807ef","b43f5544-b806-46c0-a0bf-2208a7be9c95","Switcher is an AI-powered service that analyzes your electricity, gas, internet, mobile, and insurance plans, finds better offers, and switches them for you. Automatically.","Switcher is an AI-powered service that analyzes your electricity, gas, internet, mobile, and insurance plans, finds better offers, and switches them for you. Automatically.","""2025-10-28T09:37:30.107Z"""
"02ca798a-09cb-4f89-918e-e6e82ecb8b07","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"AI video summarizer for busy content creators","""2025-10-27T16:01:14.416Z"""
"04333be7-e838-4404-b44f-3f28b972a7e6","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Decision-making assistant for overwhelmed medical students","""2025-10-27T16:08:53.035Z"""
"07fd094a-86f6-4104-bf1e-0bb4e83cab96","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf","assistance dog training","assistance dog training","""2025-10-27T16:32:14.893Z"""
"081b7945-449f-4a89-9d7b-b66d2d66ed77","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Automated setlist generator for live musicians.","""2025-10-27T09:25:57.858Z"""
"0889a317-17e5-4232-9073-ca2ca583d0be","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Data insights dashboard for new parents’ needs","""2025-10-27T13:45:27.717Z"""
"094351c8-565b-4abb-adaf-6b2a81772529","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Expense tracker specifically for niche online gig workers","""2025-10-27T16:30:43.152Z"""
"0a25a580-2c63-4119-979e-ced3c52cb525","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf","azertyuiop","azertyuiop","""2025-10-27T14:34:02.700Z"""
"0debd8c3-0279-4f3d-9698-060b0386235f","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Affordable analytics dashboard for fantasy league players","""2025-10-27T14:27:58.400Z"""
"0ea25b9b-2686-47e9-83d2-1ff9d8d4aea8","b96cf5bf-c134-460e-a711-8d788e96b7c4","chronicles of narnia","chronicles of narnia","""2025-10-29T18:00:07.128Z"""
"112349e1-ded1-4d7b-8b54-55431f4ccbda","afa34fb5-4d22-4ab7-adc9-19336d12a452","AI tutor for math students","AI tutor for math students","""2025-10-27T16:12:34.564Z"""
"11663921-cf0c-4cd3-b0cf-460f9b0dcd81","e1aaf66a-c4b2-4bd7-a158-c79564d41fbf",,"Automated quiz generator for online course creators","""2025-10-27T16:54:58.051Z"""
